,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Taze meyve ve sebze,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler
2024-12-31,82.846966,84.127342,84.201852,83.795432,84.28976,85.18254,87.451039,81.662208,85.73415,88.054683,90.977806,86.017354,83.787267,80.897663,85.300498,90.731956,91.584378,102.695916,88.249129,89.233066,84.8098,78.124219,73.83433,82.213755,77.111428,88.52809,76.143154
2025-01-31,87.766117,88.725092,88.90455,88.426859,88.654814,88.717494,89.802877,86.644833,89.040253,90.392905,94.084027,87.820185,87.905591,87.436119,88.151527,91.457104,92.264967,97.087084,90.671269,91.47747,85.842477,86.138135,80.229033,87.555084,83.195134,91.027028,88.874543
2025-02-28,90.395955,90.779227,90.50447,90.621206,90.741749,90.872612,91.267081,89.745494,91.863374,91.660458,92.942148,90.767366,92.033517,91.826378,92.142015,91.311977,92.031462,91.981427,91.679254,92.626549,86.313237,89.247105,84.429245,90.28348,89.272467,94.355613,90.668519
2025-03-31,92.265382,91.960857,91.830311,91.659351,92.740816,93.044895,93.737453,89.769957,96.398357,100.97779,107.843449,96.192745,92.556157,91.98739,92.854072,92.991572,92.847173,89.599166,93.17277,94.56542,93.997595,90.993545,87.29334,92.223601,89.017996,94.87682,92.323374
2025-04-30,95.069811,94.815794,94.897288,94.658861,95.624352,95.796142,96.543215,93.64518,98.336756,102.977468,106.237557,100.705302,94.443268,94.390237,94.470756,96.115172,96.319236,95.488013,96.369223,96.813039,94.696577,93.726508,90.090693,95.534575,94.135041,95.236667,94.414601
2025-05-31,96.521085,96.946021,97.206074,96.775895,97.135802,97.218738,97.920402,95.653942,97.637281,99.875725,101.276543,98.899417,95.759471,95.496537,95.89711,98.901112,99.455051,102.256704,98.996929,98.254327,95.053143,95.354639,92.882954,97.284321,95.064641,95.102439,95.723443
2025-06-30,98.126749,98.653715,99.084448,98.553383,98.51175,98.6585,98.61756,97.822233,97.37481,98.194165,99.311361,97.415409,96.687457,96.893345,96.579498,99.854592,100.457566,101.925519,100.228666,99.811856,95.661626,97.954011,96.573416,99.326749,98.875809,96.510412,97.909714
2025-07-31,101.014578,100.449209,100.812059,101.016234,100.415869,100.089523,100.117735,105.007606,97.447793,95.843649,94.562941,96.73645,98.793329,98.275535,99.064702,100.56184,100.549723,95.79077,101.804297,101.832508,100.64615,101.028199,101.095154,101.556611,100.14557,101.9838,100.64145
2025-08-31,103.230014,102.52822,102.516996,102.910386,102.314838,102.133842,101.842644,105.679146,100.388759,97.777321,96.694336,98.532097,102.579748,103.947952,101.863109,101.690438,101.070283,95.053065,102.54885,102.863969,105.999416,103.707936,105.756378,103.463145,103.515072,103.670226,102.573446
2025-09-30,106.465295,105.95129,105.813898,106.086112,105.749075,105.55831,104.68335,106.994661,105.028194,103.181351,100.878008,104.786416,106.577663,107.034586,106.338379,103.639,103.201093,98.798446,104.703701,103.843971,106.683095,107.96495,110.401053,106.238129,110.018019,104.502729,107.743524
2025-10-31,108.394747,108.525635,108.366927,108.530157,108.451082,108.40319,107.764206,108.361515,108.610829,107.847771,106.416572,108.845436,109.25107,109.983731,108.867246,106.903373,106.506278,111.322373,105.658779,104.535441,109.664628,109.898735,114.533978,107.660368,112.004218,105.223851,108.810212
2025-11-30,109.723085,109.904448,109.688393,109.994216,109.328149,109.24651,108.370922,110.382337,107.864707,104.257126,99.931514,107.271977,110.891393,110.686931,110.99866,108.091473,107.48949,112.060078,106.700383,105.595847,112.272811,111.498409,117.390071,108.618124,113.894812,106.816032,109.961475
2025-12-31,111.027182,110.76049,110.374584,110.767339,110.331705,110.260242,109.332555,110.293097,110.008887,107.014272,99.821544,112.027199,112.521336,112.041259,112.772926,108.482346,107.807679,108.637354,107.465878,107.779603,113.169246,112.48783,119.324685,110.255812,110.861221,110.694383,110.355698
2026-01-31,116.475546,115.439181,115.398862,115.312321,115.771658,115.555879,112.885345,112.821647,117.256168,119.636381,121.809143,118.509262,115.551574,114.428816,116.062393,109.312299,108.361645,103.385179,110.592699,110.362768,116.424485,120.795601,125.596181,116.717798,119.788763,116.6118,121.109364
